Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Sep 2022,2022-09-30,0.0,115663.5,9638.625261,9638.63,0.0,9638.63,9638.63,0.0,115787.68,13
Oct 2022,2022-10-31,0.0,113162.91,9430.242094,599.85,0.0,599.85,599.85,0.0,113125.09,1
Nov 2022,2022-11-30,0.0,117641.55,9803.462404,0.0,0.0,0.0,0.0,0.0,117641.55,0
Dec 2022,2022-12-30,0.0,112557.6,9379.799921,1305.46,0.0,1305.46,1305.46,0.0,112565.98,1
Jan 2023,2023-01-31,0.0,113994.08,9499.506987,5511.9,0.0,5511.9,5511.9,0.0,113621.06,5
Feb 2023,2023-02-28,0.0,108567.67,9047.305789,4830.04,0.0,4830.04,4830.04,0.0,108401.42,3
Mar 2023,2023-03-31,0.0,109404.73,9117.060472,5524.66,0.0,5524.66,5524.66,0.0,108933.0,6
Apr 2023,2023-04-28,0.0,118928.82,9910.735335,9910.74,0.0,9910.74,9910.74,0.0,120520.86,6
May 2023,2023-05-31,0.0,123636.04,10303.002941,10303.0,0.0,10303.0,10303.0,0.0,124453.76,10
Jun 2023,2023-06-30,0.0,134705.75,11225.479039,11225.48,0.0,11225.48,11225.48,0.0,136131.85,10
Jul 2023,2023-07-31,0.0,145510.88,12125.906677,12125.91,0.0,12125.91,12125.91,0.0,147239.94,8
Aug 2023,2023-08-31,0.0,156974.1,13081.175068,13081.18,0.0,13081.18,13081.18,0.0,156331.5,5
Sep 2023,2023-09-29,0.0,160756.07,13396.338846,13396.34,0.0,13396.34,13396.34,0.0,161064.04,9
Oct 2023,2023-10-31,0.0,166713.51,13892.792622,13892.79,0.0,13892.79,13892.79,0.0,167234.54,6
Nov 2023,2023-11-30,0.0,181839.55,15153.296098,15153.3,0.0,15153.3,15153.3,0.0,183323.83,11
Dec 2023,2023-12-29,0.0,202857.28,16904.773047,16904.77,0.0,16904.77,16904.77,0.0,204890.24,11
Jan 2024,2024-01-31,0.0,231994.95,19332.912159,17670.68,0.0,17670.68,17670.68,0.0,233069.68,12
Feb 2024,2024-02-29,0.0,220552.67,18379.389076,9096.07,0.0,9096.07,9096.07,0.0,220500.27,5
Mar 2024,2024-03-28,0.0,200726.73,16727.227884,11765.59,0.0,11765.59,11765.59,0.0,200345.45,5
Apr 2024,2024-04-30,0.0,220067.8,18338.983457,15351.27,0.0,15351.27,15351.27,0.0,221486.1,6
May 2024,2024-05-31,0.0,217998.24,18166.520346,16096.0,0.0,16096.0,16096.0,0.0,218929.32,4
Jun 2024,2024-06-28,0.0,247954.89,20662.907662,20662.91,0.0,20662.91,20662.91,0.0,250471.9,8
Jul 2024,2024-07-31,0.0,264001.34,22000.111783,22000.11,0.0,22000.11,22000.11,0.0,264369.98,16
Aug 2024,2024-08-30,0.0,269707.95,22475.662602,22475.66,0.0,22475.66,22475.66,0.0,272109.82,10
Sep 2024,2024-09-30,0.0,282901.0,23575.083572,23575.08,0.0,23575.08,23575.08,0.0,281159.46,12
Oct 2024,2024-10-31,0.0,267206.98,22267.247925,15981.1,0.0,15981.1,15981.1,0.0,265750.32,6
Nov 2024,2024-11-29,0.0,293079.06,24423.25538,11161.57,0.0,11161.57,11161.57,0.0,292726.01,3
Dec 2024,2024-12-31,0.0,253116.12,21093.010083,21093.01,0.0,21093.01,21093.01,0.0,252229.0,3
Jan 2025,2025-01-31,0.0,213998.81,17833.233934,14022.25,0.0,14022.25,14022.25,0.0,212168.96,6
Feb 2025,2025-02-28,0.0,180835.28,15069.606324,15069.61,0.0,15069.61,15069.61,0.0,180109.33,8
Mar 2025,2025-03-31,0.0,194977.64,16248.136522,16248.14,0.0,16248.14,16248.14,0.0,197776.37,10
Apr 2025,2025-04-30,0.0,215287.41,17940.617315,17940.62,0.0,17940.62,17940.62,0.0,216007.14,9
May 2025,2025-05-30,0.0,244467.57,20372.297485,20372.3,0.0,20372.3,20372.3,0.0,244958.57,8
Jun 2025,2025-06-30,0.0,252467.18,21038.931678,21038.93,0.0,21038.93,21038.93,0.0,252664.65,6
Jul 2025,2025-07-31,0.0,241196.95,20099.745721,20099.75,0.0,20099.75,20099.75,0.0,242142.18,10
Aug 2025,2025-08-29,0.0,237393.19,19782.766128,19782.77,0.0,19782.77,19782.77,0.0,236289.63,8
Sep 2025,2025-09-30,0.0,223110.06,18592.505033,16310.28,0.0,16310.28,16310.28,0.0,223751.08,6
