Date,Portfolio_Value,Bank,Equity
2024-02-07,141442.56,0.0,141442.56
2024-02-08,141609.6,0.0,141609.6
2024-02-09,138288.04,0.0,138288.04
2024-02-12,135248.95,0.0,135248.95
2024-02-13,133280.22,0.0,133280.22
2024-02-14,134088.23,0.0,134088.23
2024-02-15,135527.56,0.0,135527.56
2024-02-16,136066.29,0.0,136066.29
2024-02-19,137943.06,0.0,137943.06
2024-02-20,137603.55,0.0,137603.55
2024-02-21,135702.66,0.0,135702.66
2024-02-22,137006.5,0.0,137006.5
2024-02-23,137235.75,0.0,137235.75
2024-02-26,136883.24,0.0,136883.24
2024-02-27,137004.3,0.0,137004.3
2024-02-28,135737.32,0.0,135737.32
2024-02-29,135997.64,0.0,135997.64
2024-03-01,136749.24,0.0,136749.24
2024-03-04,136416.34,0.0,136416.34
2024-03-05,134524.55,0.0,134524.55
2024-03-06,131858.96,0.0,131858.96
2024-03-07,133864.51,0.0,133864.51
2024-03-11,131374.5,0.0,131374.5
2024-03-12,126620.93,0.0,126620.93
2024-03-13,118052.31,0.0,118052.31
2024-03-14,125152.8,0.0,125152.8
2024-03-15,124316.21,0.0,124316.21
2024-03-18,125443.72,0.0,125443.72
2024-03-19,123238.3,0.0,123238.3
2024-03-20,121967.79,0.0,121967.79
2024-03-21,125491.43,0.0,125491.43
2024-03-22,127423.55,0.0,127423.55
2024-03-26,125975.9,0.0,125975.9
2024-03-27,126540.57,0.0,126540.57
2024-03-28,126554.72,0.0,126554.72
2024-04-01,130756.28,0.0,130756.28
2024-04-02,133511.63,0.0,133511.63
2024-04-03,135744.66,0.0,135744.66
2024-04-04,134876.41,0.0,134876.41
2024-04-05,135239.51,0.0,135239.51
2024-04-08,134542.4,0.0,134542.4
2024-04-09,133472.97,0.0,133472.97
2024-04-10,134390.54,0.0,134390.54
2024-04-12,133533.53,0.0,133533.53
2024-04-15,130116.96,0.0,130116.96
2024-04-16,131314.15,0.0,131314.15
2024-04-18,131940.47,0.0,131940.47
2024-04-19,132086.55,0.0,132086.55
2024-04-22,133380.0,0.0,133380.0
2024-04-23,135297.92,0.0,135297.92
2024-04-24,136053.09,0.0,136053.09
2024-04-25,137796.89,0.0,137796.89
2024-04-26,138121.73,0.0,138121.73
2024-04-29,138685.96,0.0,138685.96
2024-04-30,139642.47,0.0,139642.47
2024-05-02,139677.0,0.0,139677.0
2024-05-03,139292.9,0.0,139292.9
2024-05-06,136128.13,0.0,136128.13
2024-05-07,134097.74,0.0,134097.74
2024-05-08,135498.81,0.0,135498.81
2024-05-09,132069.94,0.0,132069.94
2024-05-10,132238.27,0.0,132238.27
2024-05-13,131994.92,0.0,131994.92
2024-05-14,135989.19,0.0,135989.19
2024-05-15,138588.73,0.0,138588.73
2024-05-16,139866.71,0.0,139866.71
2024-05-17,141852.56,0.0,141852.56
2024-05-20,141852.56,0.0,141852.56
2024-05-21,143765.05,0.0,143765.05
2024-05-22,142469.31,0.0,142469.31
2024-05-23,143591.21,0.0,143591.21
2024-05-24,142569.78,0.0,142569.78
2024-05-27,142821.74,0.0,142821.74
2024-05-28,140285.16,0.0,140285.16
2024-05-29,139878.85,0.0,139878.85
2024-05-30,137324.1,0.0,137324.1
2024-05-31,138531.51,0.0,138531.51
2024-06-03,140472.8,0.0,140472.8
2024-06-04,129940.35,0.0,129940.35
2024-06-05,135206.28,0.0,135206.28
2024-06-06,141198.0,0.0,141198.0
2024-06-07,144364.86,0.0,144364.86
2024-06-10,145226.77,0.0,145226.77
2024-06-11,146742.76,0.0,146742.76
2024-06-12,147304.47,0.0,147304.47
2024-06-13,148354.45,0.0,148354.45
2024-06-14,149133.6,0.0,149133.6
2024-06-18,151673.48,0.0,151673.48
2024-06-19,150436.47,0.0,150436.47
2024-06-20,152323.69,0.0,152323.69
2024-06-21,152020.74,0.0,152020.74
2024-06-24,152836.16,0.0,152836.16
2024-06-25,154021.67,0.0,154021.67
2024-06-26,153884.36,0.0,153884.36
2024-06-27,151770.78,0.0,151770.78
2024-06-28,151381.11,0.0,151381.11
2024-07-01,156452.93,0.0,156452.93
2024-07-02,157322.25,0.0,157322.25
2024-07-03,159426.39,0.0,159426.39
2024-07-04,159321.18,0.0,159321.18
2024-07-05,159190.29,0.0,159190.29
2024-07-08,157577.79,0.0,157577.79
2024-07-09,157937.52,0.0,157937.52
2024-07-10,156915.36,0.0,156915.36
2024-07-11,162644.65,0.0,162644.65
2024-07-12,161953.27,0.0,161953.27
2024-07-15,163689.83,0.0,163689.83
2024-07-16,162172.18,0.0,162172.18
2024-07-18,161230.46,0.0,161230.46
2024-07-19,155958.64,0.0,155958.64
2024-07-22,157628.31,0.0,157628.31
2024-07-23,156471.78,0.0,156471.78
2024-07-24,160100.48,0.0,160100.48
2024-07-25,160731.48,0.0,160731.48
2024-07-26,163561.96,0.0,163561.96
2024-07-29,165030.86,0.0,165030.86
2024-07-30,164643.95,0.0,164643.95
2024-07-31,164926.14,0.0,164926.14
2024-08-01,163717.53,0.0,163717.53
2024-08-02,162257.71,0.0,162257.71
2024-08-05,154606.84,0.0,154606.84
2024-08-06,155061.01,0.0,155061.01
2024-08-07,160723.73,0.0,160723.73
2024-08-08,160089.22,0.0,160089.22
2024-08-09,162064.72,0.0,162064.72
2024-08-12,162561.41,0.0,162561.41
2024-08-13,160702.3,0.0,160702.3
2024-08-14,157738.94,0.0,157738.94
2024-08-16,161745.09,0.0,161745.09
2024-08-19,165074.32,0.0,165074.32
2024-08-20,168711.13,0.0,168711.13
2024-08-21,169896.4,0.0,169896.4
2024-08-22,170858.66,0.0,170858.66
2024-08-23,170375.13,0.0,170375.13
2024-08-26,171766.45,0.0,171766.45
2024-08-27,172888.35,0.0,172888.35
2024-08-28,173537.93,0.0,173537.93
2024-08-29,173877.86,0.0,173877.86
2024-08-30,178720.65,0.0,178720.65
2024-09-02,179902.42,0.0,179902.42
2024-09-03,181826.21,0.0,181826.21
2024-09-04,181631.2,0.0,181631.2
2024-09-05,183677.89,0.0,183677.89
2024-09-06,185689.45,0.0,185689.45
2024-09-09,182155.25,0.0,182155.25
2024-09-10,185168.53,0.0,185168.53
2024-09-11,184011.87,0.0,184011.87
2024-09-12,185002.2,0.0,185002.2
2024-09-13,191837.83,0.0,191837.83
2024-09-16,196457.23,0.0,196457.23
2024-09-17,193229.55,0.0,193229.55
2024-09-18,189927.78,0.0,189927.78
2024-09-19,190087.63,0.0,190087.63
2024-09-20,190002.07,0.0,190002.07
2024-09-23,191971.46,0.0,191971.46
2024-09-24,192145.92,0.0,192145.92
2024-09-25,191083.87,0.0,191083.87
2024-09-26,192636.84,0.0,192636.84
2024-09-27,195841.33,0.0,195841.33
2024-09-30,195027.38,0.0,195027.38
2024-10-01,194629.7,0.0,194629.7
2024-10-03,190014.33,0.0,190014.33
2024-10-04,189575.2,0.0,189575.2
2024-10-07,182633.11,0.0,182633.11
2024-10-08,187492.98,0.0,187492.98
2024-10-09,188669.2,0.0,188669.2
2024-10-10,188660.73,0.0,188660.73
2024-10-11,189847.91,0.0,189847.91
2024-10-14,189371.35,0.0,189371.35
2024-10-15,191004.24,0.0,191004.24
2024-10-16,190795.24,0.0,190795.24
2024-10-17,187070.13,0.0,187070.13
2024-10-18,185887.71,0.0,185887.71
2024-10-21,183211.74,0.0,183211.74
2024-10-22,175782.45,0.0,175782.45
2024-10-23,179533.22,0.0,179533.22
2024-10-24,176983.83,0.0,176983.83
2024-10-25,172722.5,0.0,172722.5
2024-10-28,174638.34,0.0,174638.34
2024-10-29,176645.06,0.0,176645.06
2024-10-30,179688.18,0.0,179688.18
2024-10-31,182422.27,0.0,182422.27
2024-11-04,182624.26,0.0,182624.26
2024-11-05,184209.25,0.0,184209.25
2024-11-06,190236.53,0.0,190236.53
2024-11-07,188706.28,0.0,188706.28
2024-11-08,184253.33,0.0,184253.33
2024-11-11,182698.87,0.0,182698.87
2024-11-12,179600.42,0.0,179600.42
2024-11-13,172809.84,0.0,172809.84
2024-11-14,175774.38,0.0,175774.38
2024-11-18,174475.91,0.0,174475.91
2024-11-19,177693.75,0.0,177693.75
2024-11-20,177693.75,0.0,177693.75
2024-11-21,175717.81,0.0,175717.81
2024-11-22,177585.76,0.0,177585.76
2024-11-25,181514.32,0.0,181514.32
2024-11-26,185939.3,0.0,185939.3
2024-11-27,188699.86,0.0,188699.86
2024-11-28,188810.16,0.0,188810.16
2024-11-29,189347.21,0.0,189347.21
2024-12-02,191003.16,0.0,191003.16
2024-12-03,190396.52,0.0,190396.52
2024-12-04,191327.38,0.0,191327.38
2024-12-05,192508.2,0.0,192508.2
2024-12-06,195262.28,0.0,195262.28
2024-12-09,197078.56,0.0,197078.56
2024-12-10,197063.03,0.0,197063.03
2024-12-11,198608.85,0.0,198608.85
2024-12-12,196465.87,0.0,196465.87
2024-12-13,196340.86,0.0,196340.86
2024-12-16,197701.1,0.0,197701.1
2024-12-17,197725.11,0.0,197725.11
2024-12-18,195138.69,0.0,195138.69
2024-12-19,194444.79,0.0,194444.79
2024-12-20,190185.75,0.0,190185.75
2024-12-23,188282.72,0.0,188282.72
2024-12-24,188967.21,0.0,188967.21
2024-12-26,190237.08,0.0,190237.08
2024-12-27,190141.94,0.0,190141.94
2024-12-30,184888.9,0.0,184888.9
2024-12-31,188319.15,0.0,188319.15
2025-01-01,181542.83,0.0,181542.83
2025-01-02,183672.22,0.0,183672.22
2025-01-03,183064.49,0.0,183064.49
2025-01-06,177594.12,0.0,177594.12
2025-01-07,182277.28,0.0,182277.28
2025-01-08,178187.63,0.0,178187.63
2025-01-09,174580.32,0.0,174580.32
2025-01-10,172483.54,0.0,172483.54
2025-01-13,164126.54,0.0,164126.54
2025-01-14,167683.2,0.0,167683.2
2025-01-15,169694.12,0.0,169694.12
2025-01-16,169363.09,0.0,169363.09
2025-01-17,169237.21,0.0,169237.21
2025-01-20,171349.85,0.0,171349.85
2025-01-21,166047.75,0.0,166047.75
2025-01-22,162715.24,0.0,162715.24
2025-01-23,164598.47,0.0,164598.47
2025-01-24,160134.93,0.0,160134.93
2025-01-27,153660.56,0.0,153660.56
2025-01-28,148409.99,0.0,148409.99
2025-01-29,153592.63,0.0,153592.63
2025-01-30,154472.12,0.0,154472.12
2025-01-31,157257.94,0.0,157257.94
2025-02-03,158136.73,0.0,158136.73
2025-02-04,158829.04,0.0,158829.04
2025-02-05,160922.63,0.0,160922.63
2025-02-06,160167.7,0.0,160167.7
2025-02-07,162415.03,0.0,162415.03
2025-02-10,155524.74,0.0,155524.74
2025-02-11,148932.28,0.0,148932.28
2025-02-12,149930.63,0.0,149930.63
2025-02-13,147867.0,0.0,147867.0
2025-02-14,147598.66,0.0,147598.66
2025-02-17,152496.41,0.0,152496.41
2025-02-18,149156.66,0.0,149156.66
2025-02-19,150742.26,0.0,150742.26
2025-02-20,148958.68,0.0,148958.68
2025-02-21,147410.06,0.0,147410.06
2025-02-24,145535.54,0.0,145535.54
2025-02-25,144904.44,0.0,144904.44
2025-02-27,140733.43,0.0,140733.43
2025-02-28,136657.54,0.0,136657.54
2025-03-03,135243.88,0.0,135243.88
2025-03-04,136224.66,0.0,136224.66
2025-03-05,139636.01,0.0,139636.01
2025-03-06,141934.85,0.0,141934.85
2025-03-07,142830.06,0.0,142830.06
2025-03-10,137917.54,0.0,137917.54
2025-03-11,138235.77,0.0,138235.77
2025-03-12,138780.99,0.0,138780.99
2025-03-13,138475.05,0.0,138475.05
2025-03-17,140584.31,0.0,140584.31
2025-03-18,140584.31,0.0,140584.31
2025-03-19,146099.57,0.0,146099.57
2025-03-20,146919.18,0.0,146919.18
2025-03-21,150057.93,0.0,150057.93
2025-03-24,153707.9,0.0,153707.9
2025-03-25,150670.5,0.0,150670.5
2025-03-26,148335.88,0.0,148335.88
2025-03-27,150036.32,0.0,150036.32
2025-03-28,151143.08,0.0,151143.08
2025-04-01,152031.7,0.0,152031.7
2025-04-02,154064.27,0.0,154064.27
2025-04-03,153388.75,0.0,153388.75
2025-04-04,146236.14,0.0,146236.14
2025-04-07,139322.56,0.0,139322.56
2025-04-08,143478.53,0.0,143478.53
2025-04-09,142804.92,0.0,142804.92
2025-04-11,146648.41,0.0,146648.41
2025-04-15,150403.95,0.0,150403.95
2025-04-16,151035.85,0.0,151035.85
2025-04-17,152644.84,0.0,152644.84
2025-04-21,154642.42,0.0,154642.42
2025-04-22,157915.46,0.0,157915.46
2025-04-23,160496.9,0.0,160496.9
2025-04-24,161660.15,0.0,161660.15
2025-04-25,157042.85,0.0,157042.85
2025-04-28,158869.1,0.0,158869.1
2025-04-29,159138.46,0.0,159138.46
2025-04-30,156645.67,0.0,156645.67
2025-05-02,157325.59,0.0,157325.59
2025-05-05,161115.41,0.0,161115.41
2025-05-06,158430.75,0.0,158430.75
2025-05-07,158481.8,0.0,158481.8
2025-05-08,156969.02,0.0,156969.02
2025-05-09,157038.15,0.0,157038.15
2025-05-12,163320.51,0.0,163320.51
2025-05-13,167049.38,0.0,167049.38
2025-05-14,168856.14,0.0,168856.14
2025-05-15,173794.04,0.0,173794.04
2025-05-16,174082.27,0.0,174082.27
2025-05-19,172090.54,0.0,172090.54
2025-05-20,171192.28,0.0,171192.28
2025-05-21,172473.22,0.0,172473.22
2025-05-22,172459.34,0.0,172459.34
2025-05-23,173083.13,0.0,173083.13
2025-05-26,172745.75,0.0,172745.75
2025-05-27,172876.03,0.0,172876.03
2025-05-28,173708.79,0.0,173708.79
2025-05-29,174440.16,0.0,174440.16
2025-05-30,175157.81,0.0,175157.81
2025-06-02,173191.54,0.0,173191.54
2025-06-03,173801.18,0.0,173801.18
2025-06-04,174144.43,0.0,174144.43
2025-06-05,174536.01,0.0,174536.01
2025-06-06,173855.25,0.0,173855.25
2025-06-09,175860.75,0.0,175860.75
2025-06-10,176265.5,0.0,176265.5
2025-06-11,175738.94,0.0,175738.94
2025-06-12,173395.9,0.0,173395.9
2025-06-13,173366.52,0.0,173366.52
2025-06-16,173713.65,0.0,173713.65
2025-06-17,172218.14,0.0,172218.14
2025-06-18,170894.81,0.0,170894.81
2025-06-19,168441.63,0.0,168441.63
2025-06-20,169098.19,0.0,169098.19
2025-06-23,169204.89,0.0,169204.89
2025-06-24,169882.3,0.0,169882.3
2025-06-25,172470.55,0.0,172470.55
2025-06-26,174949.37,0.0,174949.37
2025-06-27,177479.28,0.0,177479.28
2025-06-30,179392.85,0.0,179392.85
2025-07-01,178140.28,0.0,178140.28
2025-07-02,178537.1,0.0,178537.1
2025-07-03,178806.15,0.0,178806.15
2025-07-04,177352.39,0.0,177352.39
2025-07-07,177204.42,0.0,177204.42
2025-07-08,174430.86,0.0,174430.86
2025-07-09,176630.87,0.0,176630.87
2025-07-10,176683.01,0.0,176683.01
2025-07-11,173996.31,0.0,173996.31
2025-07-14,177705.08,0.0,177705.08
2025-07-15,181491.98,0.0,181491.98
2025-07-16,182667.54,0.0,182667.54
2025-07-17,182178.7,0.0,182178.7
2025-07-18,182076.69,0.0,182076.69
2025-07-21,183006.88,0.0,183006.88
2025-07-22,184364.53,0.0,184364.53
2025-07-23,183091.01,0.0,183091.01
2025-07-24,179764.77,0.0,179764.77
2025-07-25,177941.03,0.0,177941.03
2025-07-28,175513.23,0.0,175513.23
2025-07-29,181929.96,0.0,181929.96
2025-07-30,185453.48,0.0,185453.48
2025-07-31,181430.72,0.0,181430.72
2025-08-01,175226.51,0.0,175226.51
2025-08-04,177327.14,0.0,177327.14
2025-08-05,180306.27,0.0,180306.27
2025-08-06,181426.11,0.0,181426.11
2025-08-07,177562.29,0.0,177562.29
2025-08-08,175364.02,0.0,175364.02
2025-08-11,175836.59,0.0,175836.59
2025-08-12,176400.7,0.0,176400.7
2025-08-13,176947.1,0.0,176947.1
2025-08-14,176859.0,0.0,176859.0
2025-08-18,176512.73,0.0,176512.73
2025-08-19,177989.77,0.0,177989.77
2025-08-20,182342.07,0.0,182342.07
2025-08-21,182258.96,0.0,182258.96
2025-08-22,179488.51,0.0,179488.51
2025-08-25,180314.65,0.0,180314.65
2025-08-26,177744.23,0.0,177744.23
2025-08-28,176729.21,0.0,176729.21
2025-08-29,178783.24,0.0,178783.24
