Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
NMDC.NS,59.301534,187.91,11143.16,230.07,13643.5,6.048,Nov 2024,2024-11-29
CHAMBLFERT.NS,18.60934,338.04,6290.68,515.3,9589.39,4.251,Nov 2024,2024-11-29
WIPRO.NS,4.286364,317.09,1359.17,288.92,1238.44,0.549,Nov 2024,2024-11-29
FACT.NS,20.044319,813.48,16305.69,1003.1,20106.46,8.913,Nov 2024,2024-11-29
HAL.NS,5.985929,4142.82,24798.6,4476.85,26798.11,11.88,Nov 2024,2024-11-29
HGINFRA.NS,4.793978,909.58,4360.49,1331.15,6381.5,2.829,Nov 2024,2024-11-29
CANFINHOME.NS,1.505721,715.92,1077.98,818.03,1231.72,0.546,Nov 2024,2024-11-29
REFEX.NS,1.529443,106.94,163.56,518.9,793.63,0.352,Nov 2024,2024-11-29
BANCOINDIA.NS,25.925363,489.95,12702.06,1157.0,29995.65,13.297,Nov 2024,2024-11-29
GPIL.NS,11.077461,261.05,2891.75,188.39,2086.88,0.925,Nov 2024,2024-11-29
PERSISTENT.NS,1.081583,3880.52,4197.1,5905.65,6387.45,2.832,Nov 2024,2024-11-29
GODFRYPHLP.NS,2.172185,3258.24,7077.5,5673.15,12323.13,5.463,Nov 2024,2024-11-29
SURYAROSNI.NS,9.078113,565.73,5135.8,571.5,5188.14,2.3,Nov 2024,2024-11-29
GRSE.NS,3.111417,928.55,2889.11,1679.25,5224.85,2.316,Nov 2024,2024-11-29
BAJAJ-AUTO.NS,1.211367,8814.88,10678.05,9033.65,10943.06,4.851,Nov 2024,2024-11-29
PCBL.NS,27.451565,391.56,10748.82,433.85,11909.86,5.28,Nov 2024,2024-11-29
APARINDS.NS,0.317365,6263.95,1987.96,10101.35,3205.82,1.421,Nov 2024,2024-11-29
GOKEX.NS,1.745497,754.1,1316.28,962.05,1679.26,0.744,Nov 2024,2024-11-29
ECLERX.NS,0.550186,2392.43,1316.28,3487.3,1918.66,0.851,Nov 2024,2024-11-29
TI.NS,26.652078,259.18,6907.61,409.0,10900.7,4.832,Nov 2024,2024-11-29
CAPLIPOINT.NS,1.184202,1328.11,1572.75,2196.35,2600.92,1.153,Nov 2024,2024-11-29
MSTCLTD.NS,10.912128,828.27,9038.16,719.6,7852.37,3.481,Nov 2024,2024-11-29
GRAVITA.NS,1.979313,1476.75,2922.95,2176.8,4308.57,1.91,Nov 2024,2024-11-29
SHARDAMOTR.NS,4.944167,2396.51,11848.73,2047.0,10120.71,4.487,Nov 2024,2024-11-29
IIFLSEC.NS,14.849585,386.11,5733.52,326.35,4846.16,2.148,Nov 2024,2024-11-29
OFSS.NS,0.253629,11442.65,2902.19,11696.45,2966.56,1.315,Nov 2024,2024-11-29
HINDZINC.NS,5.206576,543.8,2831.34,504.6,2627.24,1.165,Nov 2024,2024-11-29
HCLTECH.NS,1.606022,1762.95,2831.34,1848.05,2968.01,1.316,Nov 2024,2024-11-29
KNRCON.NS,17.556882,249.2,4375.24,346.15,6077.31,3.114,Dec 2024,2024-12-31
NMDC.NS,59.301534,187.91,11143.16,65.92,3909.16,2.003,Dec 2024,2024-12-31
CHAMBLFERT.NS,18.60934,338.04,6290.68,493.95,9192.08,4.709,Dec 2024,2024-12-31
WIPRO.NS,4.286364,317.09,1359.17,301.85,1293.84,0.663,Dec 2024,2024-12-31
FACT.NS,19.820117,814.43,16142.13,980.9,19441.55,9.961,Dec 2024,2024-12-31
HAL.NS,6.307624,4161.27,26247.75,4178.35,26355.46,13.503,Dec 2024,2024-12-31
HGINFRA.NS,4.793978,909.58,4360.49,1517.25,7273.66,3.727,Dec 2024,2024-12-31
CANFINHOME.NS,1.505721,715.92,1077.98,759.3,1143.29,0.586,Dec 2024,2024-12-31
BANCOINDIA.NS,27.188572,520.48,14151.21,475.45,12926.81,6.623,Dec 2024,2024-12-31
GPIL.NS,11.077461,261.05,2891.75,202.08,2238.53,1.147,Dec 2024,2024-12-31
PERSISTENT.NS,1.030434,3914.41,4033.54,6457.7,6654.24,3.409,Dec 2024,2024-12-31
