Date,Portfolio_Value,Bank,Month,Equity
2019-05-30,36067.7,0.0,May 2019,36067.7
2019-05-31,36250.03,0.0,May 2019,36250.03
2019-06-03,36068.73,0.0,Jun 2019,36068.73
2019-06-04,35826.02,0.0,Jun 2019,35826.02
2019-06-06,35469.86,0.0,Jun 2019,35469.86
2019-06-07,35385.96,0.0,Jun 2019,35385.96
2019-06-10,35444.69,0.0,Jun 2019,35444.69
2019-06-11,35719.69,0.0,Jun 2019,35719.69
2019-06-12,35640.41,0.0,Jun 2019,35640.41
2019-06-13,35551.3,0.0,Jun 2019,35551.3
2019-06-14,35316.99,0.0,Jun 2019,35316.99
2019-06-17,34927.75,0.0,Jun 2019,34927.75
2019-06-18,35015.39,0.0,Jun 2019,35015.39
2019-06-19,35072.0,0.0,Jun 2019,35072.0
2019-06-20,35264.67,0.0,Jun 2019,35264.67
2019-06-21,35046.71,0.0,Jun 2019,35046.71
2019-06-24,35017.04,0.0,Jun 2019,35017.04
2019-06-25,35013.09,0.0,Jun 2019,35013.09
2019-06-26,35099.75,0.0,Jun 2019,35099.75
2019-06-27,35187.5,0.0,Jun 2019,35187.5
2019-06-28,35166.55,0.0,Jun 2019,35166.55
2019-07-01,34783.95,0.0,Jul 2019,34783.95
2019-07-02,34872.03,0.0,Jul 2019,34872.03
2019-07-03,34894.6,0.0,Jul 2019,34894.6
2019-07-04,34931.49,0.0,Jul 2019,34931.49
2019-07-05,34479.95,0.0,Jul 2019,34479.95
2019-07-08,33973.27,0.0,Jul 2019,33973.27
2019-07-09,34019.66,0.0,Jul 2019,34019.66
2019-07-10,33669.78,0.0,Jul 2019,33669.78
2019-07-11,33654.84,0.0,Jul 2019,33654.84
2019-07-12,33725.12,0.0,Jul 2019,33725.12
2019-07-15,33917.12,0.0,Jul 2019,33917.12
2019-07-16,34038.19,0.0,Jul 2019,34038.19
2019-07-17,34381.96,0.0,Jul 2019,34381.96
2019-07-18,34010.52,0.0,Jul 2019,34010.52
2019-07-19,33288.63,0.0,Jul 2019,33288.63
2019-07-22,33490.17,0.0,Jul 2019,33490.17
2019-07-23,33277.82,0.0,Jul 2019,33277.82
2019-07-24,32651.42,0.0,Jul 2019,32651.42
2019-07-25,32694.37,0.0,Jul 2019,32694.37
2019-07-26,32965.7,0.0,Jul 2019,32965.7
2019-07-29,32840.39,0.0,Jul 2019,32840.39
2019-07-30,32497.26,0.0,Jul 2019,32497.26
2019-07-31,32759.42,0.0,Jul 2019,32759.42
2019-08-01,32470.55,0.0,Aug 2019,32470.55
2019-08-02,32500.42,0.0,Aug 2019,32500.42
2019-08-05,32130.1,0.0,Aug 2019,32130.1
2019-08-06,32408.14,0.0,Aug 2019,32408.14
2019-08-07,32702.37,0.0,Aug 2019,32702.37
2019-08-08,33219.57,0.0,Aug 2019,33219.57
2019-08-09,33645.62,0.0,Aug 2019,33645.62
2019-08-13,33125.01,0.0,Aug 2019,33125.01
2019-08-14,33009.73,0.0,Aug 2019,33009.73
2019-08-16,32885.23,0.0,Aug 2019,32885.23
2019-08-19,33891.97,0.0,Aug 2019,33891.97
2019-08-20,33839.85,0.0,Aug 2019,33839.85
2019-08-21,33354.16,0.0,Aug 2019,33354.16
2019-08-22,32972.01,0.0,Aug 2019,32972.01
2019-08-23,33271.34,0.0,Aug 2019,33271.34
2019-08-26,33745.08,0.0,Aug 2019,33745.08
2019-08-27,34340.63,0.0,Aug 2019,34340.63
2019-08-28,34519.37,0.0,Aug 2019,34519.37
2019-08-29,34453.14,0.0,Aug 2019,34453.14
2019-08-30,34591.99,0.0,Aug 2019,34591.99
2019-09-03,34648.39,0.0,Sep 2019,34648.39
2019-09-04,34671.06,0.0,Sep 2019,34671.06
2019-09-05,35047.84,0.0,Sep 2019,35047.84
2019-09-06,35311.17,0.0,Sep 2019,35311.17
2019-09-09,35685.2,0.0,Sep 2019,35685.2
2019-09-11,35655.68,0.0,Sep 2019,35655.68
2019-09-12,35857.19,0.0,Sep 2019,35857.19
2019-09-13,36091.59,0.0,Sep 2019,36091.59
2019-09-16,36003.41,0.0,Sep 2019,36003.41
2019-09-17,35392.52,0.0,Sep 2019,35392.52
2019-09-18,35856.7,0.0,Sep 2019,35856.7
