Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Jan 2021,2021-01-29,0.0,87441.19,7286.765644,0.0,0.0,0.0,0.0,0.0,0.0,87441.19
Feb 2021,2021-02-26,0.0,96660.82,8055.068292,0.0,679.7,0.0,679.7,679.7,0.0,96768.74
Mar 2021,2021-03-31,0.0,96912.42,8076.034837,0.0,0.0,0.0,0.0,0.0,0.0,96912.42
Apr 2021,2021-04-30,0.0,105478.8,8789.899844,0.0,729.53,0.0,729.53,729.53,0.0,105583.53
May 2021,2021-05-31,0.0,112735.86,9394.655406,0.0,2672.41,0.0,2672.41,2672.41,0.0,112828.48
Jun 2021,2021-06-30,0.0,121409.16,10117.430197,0.0,979.05,0.0,979.05,979.05,0.0,121546.1
Jul 2021,2021-07-30,0.0,131871.74,10989.311982,0.0,2129.55,0.0,2129.55,2129.55,0.0,132028.14
Aug 2021,2021-08-31,0.0,145601.4,12133.45025,0.0,6330.38,0.0,6330.38,6330.38,0.0,145480.27
Sep 2021,2021-09-30,0.0,148000.14,12333.345055,0.0,1195.21,0.0,1195.21,1195.21,0.0,148046.43
Oct 2021,2021-10-29,0.0,145229.95,12102.496097,0.0,3900.42,0.0,3900.42,3900.42,0.0,145107.66
Nov 2021,2021-11-30,0.0,141208.47,11767.372637,0.0,3574.63,0.0,3574.63,3574.63,0.0,141479.27
Dec 2021,2021-12-31,0.0,144857.22,12071.434968,0.0,695.98,0.0,695.98,695.98,0.0,144942.78
Jan 2022,2022-01-31,0.0,143295.3,11941.27533,0.0,0.0,0.0,0.0,0.0,0.0,143295.3
Feb 2022,2022-02-28,0.0,137563.79,11463.648842,0.0,616.34,0.0,616.34,616.34,0.0,137522.81
Mar 2022,2022-03-31,0.0,146153.54,12179.461257,0.0,1265.1,0.0,1265.1,1265.1,0.0,146245.93
Apr 2022,2022-04-29,0.0,142751.91,11895.9928,0.0,2885.56,0.0,2885.56,2885.56,0.0,142717.39
May 2022,2022-05-31,0.0,129032.37,10752.697093,0.0,2973.86,0.0,2973.86,2973.86,0.0,128799.98
