Month,Date,Investment_Amount,M_Universe_Size,Value_Filter_2_50%_Stocks,Momentum_Filter_2_50%_Stocks,Current_Portfolio_Stocks,Stocks_Selected,Optimization,Iteration_Count
Oct 2022,2022-10-03,7166.7,67,61,9,22,12,Greedy_Portfolio_Sharpe,0
Nov 2022,2022-11-01,6834.86,68,61,7,24,12,Greedy_Portfolio_Sharpe,0
Dec 2022,2022-12-01,6834.44,66,58,8,21,12,Greedy_Portfolio_Sharpe,0
Jan 2023,2023-01-02,6872.63,69,61,6,22,12,Greedy_Portfolio_Sharpe,0
Feb 2023,2023-02-01,6647.89,73,64,4,26,12,Greedy_Portfolio_Sharpe,0
Mar 2023,2023-03-01,6427.51,69,63,3,26,12,Greedy_Portfolio_Sharpe,0
Apr 2023,2023-04-03,6221.49,74,62,10,24,12,Greedy_Portfolio_Sharpe,0
May 2023,2023-05-02,6051.79,75,66,6,29,12,Greedy_Portfolio_Sharpe,0
Jun 2023,2023-06-01,6692.34,81,69,6,30,12,Greedy_Portfolio_Sharpe,0
Jul 2023,2023-07-03,7083.81,82,72,9,29,12,Greedy_Portfolio_Sharpe,0
Aug 2023,2023-08-01,7867.92,81,71,7,32,12,Greedy_Portfolio_Sharpe,0
Sep 2023,2023-09-01,8561.05,81,71,5,34,12,Greedy_Portfolio_Sharpe,0
Oct 2023,2023-10-03,9446.55,85,72,8,34,12,Greedy_Portfolio_Sharpe,0
Nov 2023,2023-11-01,9553.96,80,60,4,29,12,Greedy_Portfolio_Sharpe,0
Dec 2023,2023-12-01,9683.91,92,75,11,31,12,Greedy_Portfolio_Sharpe,0
Jan 2024,2024-01-01,10439.83,82,61,5,30,12,Greedy_Portfolio_Sharpe,0
Feb 2024,2024-02-01,10831.56,82,61,6,30,12,Greedy_Portfolio_Sharpe,0
Mar 2024,2024-03-01,11619.3,84,64,8,30,12,Greedy_Portfolio_Sharpe,0
Apr 2024,2024-04-01,11536.19,76,59,10,30,12,Greedy_Portfolio_Sharpe,0
May 2024,2024-05-02,11279.16,79,62,7,29,12,Greedy_Portfolio_Sharpe,0
Jun 2024,2024-06-03,12117.9,85,65,7,27,12,Greedy_Portfolio_Sharpe,0
Jul 2024,2024-07-01,11914.93,85,65,8,25,12,Greedy_Portfolio_Sharpe,0
Aug 2024,2024-08-01,12714.3,85,67,9,25,12,Greedy_Portfolio_Sharpe,0
Sep 2024,2024-09-02,13055.46,85,64,12,25,12,Greedy_Portfolio_Sharpe,0
Oct 2024,2024-10-01,13761.67,88,65,16,26,12,Greedy_Portfolio_Sharpe,0
Nov 2024,2024-11-04,15814.69,80,61,13,26,12,Greedy_Portfolio_Sharpe,0
Dec 2024,2024-12-02,14542.58,84,61,18,27,12,Greedy_Portfolio_Sharpe,0
Jan 2025,2025-01-01,15611.95,86,61,16,28,12,Greedy_Portfolio_Sharpe,0
Feb 2025,2025-02-03,15408.44,80,64,10,25,12,Greedy_Portfolio_Sharpe,0
Mar 2025,2025-03-03,14057.42,80,64,12,26,12,Greedy_Portfolio_Sharpe,0
Apr 2025,2025-04-01,11551.27,83,65,18,28,12,Greedy_Portfolio_Sharpe,0
May 2025,2025-05-02,12502.86,74,61,13,26,12,Greedy_Portfolio_Sharpe,0
Jun 2025,2025-06-02,12984.57,79,61,15,26,12,Greedy_Portfolio_Sharpe,0
Jul 2025,2025-07-01,14611.73,71,50,12,25,12,Greedy_Portfolio_Sharpe,0
Aug 2025,2025-08-01,14316.55,67,49,12,24,12,Greedy_Portfolio_Sharpe,0
Sep 2025,2025-09-01,14608.06,62,47,10,23,12,Greedy_Portfolio_Sharpe,0
Oct 2025,2025-10-01,14512.6,64,47,12,20,12,Greedy_Portfolio_Sharpe,0
Nov 2025,2025-11-03,14728.97,64,47,13,21,12,Greedy_Portfolio_Sharpe,0
Dec 2025,2025-12-01,15097.56,61,45,8,23,12,Greedy_Portfolio_Sharpe,0
Jan 2026,2026-01-01,14365.23,66,48,9,23,12,Greedy_Portfolio_Sharpe,0
Feb 2026,2026-02-02,13692.86,65,43,12,23,12,Greedy_Portfolio_Sharpe,0
Mar 2026,2026-03-02,12494.24,61,42,11,24,12,Greedy_Portfolio_Sharpe,0
Apr 2026,2026-04-01,12692.14,63,44,14,24,12,Greedy_Portfolio_Sharpe,0
