Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Jul 2024,2024-07-31,0.0,272260.4,22688.366504,17287.4,0.0,17287.4,17287.4,0.0,272582.33,25
Aug 2024,2024-08-30,0.0,266729.3,22227.441542,14017.72,0.0,14017.72,14017.72,0.0,268521.0,6
Sep 2024,2024-09-30,0.0,266346.11,22195.509324,0.0,0.0,0.0,0.0,0.0,266346.11,0
Oct 2024,2024-10-31,0.0,245843.72,20486.977014,2178.47,0.0,2178.47,2178.47,0.0,245590.24,1
Nov 2024,2024-11-29,0.0,255640.15,21303.34624,1946.35,0.0,1946.35,1946.35,0.0,255708.4,1
Dec 2024,2024-12-31,0.0,252513.51,21042.792339,5724.71,0.0,5724.71,5724.71,0.0,252748.89,6
Jan 2025,2025-01-31,0.0,235085.11,19590.425885,778.94,0.0,778.94,778.94,0.0,235018.45,1
Feb 2025,2025-02-28,0.0,196200.41,16350.033885,4911.71,0.0,4911.71,4911.71,0.0,195566.51,9
Mar 2025,2025-03-31,0.0,206997.85,17249.820643,854.62,0.0,854.62,854.62,0.0,207119.25,1
Apr 2025,2025-04-30,0.0,216231.59,18019.299411,11775.31,0.0,11775.31,11775.31,0.0,216157.15,9
May 2025,2025-05-30,0.0,229125.2,19093.766483,4923.65,0.0,4923.65,4923.65,0.0,229561.93,3
Jun 2025,2025-06-30,0.0,239750.78,19979.231424,0.0,0.0,0.0,0.0,0.0,239750.78,0
Jul 2025,2025-07-31,0.0,233033.27,19419.439067,3098.44,0.0,3098.44,3098.44,0.0,233241.95,6
Aug 2025,2025-08-29,0.0,230393.21,19199.434413,5053.22,0.0,5053.22,5053.22,0.0,230427.1,6
Sep 2025,2025-09-30,0.0,247351.44,20612.620033,8669.63,0.0,8669.63,8669.63,0.0,247523.62,7
