Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
BAJFINANCE.NS,3.380773,706.25,2387.68,899.03,3039.42,12.458,Nov 2016,2016-11-30
INFY.NS,1.17187,457.42,536.03,396.54,464.69,1.905,Nov 2016,2016-11-30
IGL.NS,11.452326,113.17,1296.1,149.06,1707.04,6.997,Nov 2016,2016-11-30
BAJAJ-AUTO.NS,0.053554,1777.03,95.17,2164.48,115.92,0.475,Nov 2016,2016-11-30
TIDEWATER.NS,1.462706,322.82,472.19,307.34,449.54,1.843,Nov 2016,2016-11-30
TVSSRICHAK.NS,0.010803,2138.41,23.1,3203.83,34.61,0.142,Nov 2016,2016-11-30
AVANTIFEED.NS,0.104122,155.8,16.22,155.84,16.23,0.067,Nov 2016,2016-11-30
AARTIIND.NS,0.130152,124.64,16.22,171.64,22.34,0.092,Nov 2016,2016-11-30
VGUARD.NS,8.641849,128.27,1108.46,118.89,1027.45,4.211,Nov 2016,2016-11-30
HINDZINC.NS,10.82465,100.9,1092.24,118.42,1281.91,5.254,Nov 2016,2016-11-30
