Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Jan 2023,2023-01-31,0.0,227673.4,227673.398774,164673.47,0.0,164673.47,164673.47,0.0,233904.83,3
Feb 2023,2023-02-28,0.0,229689.91,229689.910674,198800.9,0.0,198800.9,198800.9,0.0,229313.76,6
Mar 2023,2023-03-31,0.0,226791.18,226791.176567,179269.69,0.0,179269.69,179269.69,0.0,234052.88,3
Apr 2023,2023-04-28,0.0,250907.63,250907.629893,163431.95,0.0,163431.95,163431.95,0.0,273171.2,2
May 2023,2023-05-31,0.0,316605.27,316605.271735,253729.29,0.0,253729.29,253729.29,0.0,334122.59,5
Jun 2023,2023-06-30,0.0,363935.79,363935.786933,326761.36,0.0,326761.36,326761.36,0.0,380470.23,6
Jul 2023,2023-07-31,0.0,393953.1,393953.104702,119763.11,0.0,119763.11,119763.11,0.0,395687.61,2
Aug 2023,2023-08-31,0.0,411128.83,411128.834827,292203.92,0.0,292203.92,292203.92,0.0,431667.19,6
Sep 2023,2023-09-29,0.0,413785.93,413785.931788,356240.56,0.0,356240.56,356240.56,0.0,414173.27,5
Oct 2023,2023-10-31,0.0,374609.76,374609.756043,239080.0,0.0,239080.0,239080.0,0.0,380304.25,3
Nov 2023,2023-11-30,0.0,401490.55,401490.545925,295448.59,0.0,295448.59,295448.59,0.0,410999.44,5
Dec 2023,2023-12-29,0.0,440987.8,440987.801199,166096.87,0.0,166096.87,166096.87,0.0,445100.76,2
Jan 2024,2024-01-31,0.0,439436.91,439436.905385,118271.89,0.0,118271.89,118271.89,0.0,435965.34,4
Feb 2024,2024-02-29,0.0,429015.22,429015.21879,96809.78,0.0,96809.78,96809.78,0.0,429883.38,2
Mar 2024,2024-03-28,0.0,451181.05,451181.053869,50321.03,0.0,50321.03,50321.03,0.0,449494.72,3
Apr 2024,2024-04-30,0.0,475022.93,475022.928733,61654.09,0.0,61654.09,61654.09,0.0,481743.91,3
May 2024,2024-05-31,0.0,531319.84,531319.843621,312788.36,0.0,312788.36,312788.36,0.0,590356.82,5
Jun 2024,2024-06-28,0.0,641243.57,641243.567611,294166.9,0.0,294166.9,294166.9,0.0,638065.85,4
Jul 2024,2024-07-31,0.0,611929.23,611929.232784,420295.65,0.0,420295.65,420295.65,0.0,628648.9,3
Aug 2024,2024-08-30,0.0,620799.74,620799.738041,386098.01,0.0,386098.01,386098.01,0.0,635648.99,5
Sep 2024,2024-09-30,0.0,627476.12,627476.117528,374309.02,0.0,374309.02,374309.02,0.0,620293.45,5
Oct 2024,2024-10-31,0.0,573146.57,573146.566443,240186.35,0.0,240186.35,240186.35,0.0,560488.15,3
Nov 2024,2024-11-29,0.0,584149.19,584149.189711,219636.05,0.0,219636.05,219636.05,0.0,594108.94,3
Dec 2024,2024-12-31,0.0,633482.49,633482.493066,137581.13,0.0,137581.13,137581.13,0.0,639857.36,2
Jan 2025,2025-01-31,0.0,574377.68,574377.682629,112084.99,0.0,112084.99,112084.99,0.0,559581.52,5
Feb 2025,2025-02-28,0.0,522323.7,522323.703402,251035.04,0.0,251035.04,251035.04,0.0,487599.08,6
Mar 2025,2025-03-31,0.0,527263.6,527263.603077,44699.13,0.0,44699.13,44699.13,0.0,533335.4,2
Apr 2025,2025-04-30,0.0,508771.62,508771.619897,94069.09,0.0,94069.09,94069.09,0.0,509536.33,3
May 2025,2025-05-30,0.0,550055.43,550055.434868,63198.69,0.0,63198.69,63198.69,0.0,557315.46,2
Jun 2025,2025-06-30,0.0,610243.32,610243.323433,50026.4,0.0,50026.4,50026.4,0.0,610806.98,3
Jul 2025,2025-07-31,0.0,615113.46,615113.460918,352610.21,0.0,352610.21,352610.21,0.0,638966.27,6
Aug 2025,2025-08-29,0.0,714087.59,714087.585579,400791.26,0.0,400791.26,400791.26,0.0,715979.41,3
Sep 2025,2025-09-30,0.0,743780.89,743780.886883,508531.21,0.0,508531.21,508531.21,0.0,736834.14,5
