Date,Portfolio_Value,Bank,Month,Equity
2017-10-30,42588.55,0.0,Oct 2017,42588.55
2017-10-31,42946.83,0.0,Oct 2017,42946.83
2017-11-01,44339.12,0.0,Nov 2017,44339.12
2017-11-02,45330.75,0.0,Nov 2017,45330.75
2017-11-03,45150.55,0.0,Nov 2017,45150.55
2017-11-06,44884.76,0.0,Nov 2017,44884.76
2017-11-07,45124.54,0.0,Nov 2017,45124.54
2017-11-08,45006.86,0.0,Nov 2017,45006.86
2017-11-09,45491.65,0.0,Nov 2017,45491.65
2017-11-10,45752.54,0.0,Nov 2017,45752.54
2017-11-13,45667.8,0.0,Nov 2017,45667.8
2017-11-14,45636.78,0.0,Nov 2017,45636.78
2017-11-15,45328.01,0.0,Nov 2017,45328.01
2017-11-16,45126.45,0.0,Nov 2017,45126.45
2017-11-17,45933.67,0.0,Nov 2017,45933.67
2017-11-20,46098.63,0.0,Nov 2017,46098.63
2017-11-21,46798.7,0.0,Nov 2017,46798.7
2017-11-22,46731.48,0.0,Nov 2017,46731.48
2017-11-23,45926.62,0.0,Nov 2017,45926.62
2017-11-24,45960.46,0.0,Nov 2017,45960.46
2017-11-27,45980.28,0.0,Nov 2017,45980.28
2017-11-28,45838.04,0.0,Nov 2017,45838.04
2017-11-29,45715.76,0.0,Nov 2017,45715.76
2017-11-30,45107.03,0.0,Nov 2017,45107.03
2017-12-01,45217.76,0.0,Dec 2017,45217.76
2017-12-04,44696.23,0.0,Dec 2017,44696.23
2017-12-05,44680.2,0.0,Dec 2017,44680.2
2017-12-06,44733.05,0.0,Dec 2017,44733.05
2017-12-07,45098.19,0.0,Dec 2017,45098.19
2017-12-08,45541.18,0.0,Dec 2017,45541.18
2017-12-11,45542.7,0.0,Dec 2017,45542.7
2017-12-12,45623.01,0.0,Dec 2017,45623.01
2017-12-13,45584.83,0.0,Dec 2017,45584.83
2017-12-14,45692.96,0.0,Dec 2017,45692.96
2017-12-15,46318.94,0.0,Dec 2017,46318.94
2017-12-18,46288.52,0.0,Dec 2017,46288.52
2017-12-19,46501.54,0.0,Dec 2017,46501.54
2017-12-20,46547.62,0.0,Dec 2017,46547.62
2017-12-21,46378.62,0.0,Dec 2017,46378.62
2017-12-22,46602.3,0.0,Dec 2017,46602.3
2017-12-26,46674.72,0.0,Dec 2017,46674.72
2017-12-27,45518.51,0.0,Dec 2017,45518.51
2017-12-28,46015.91,0.0,Dec 2017,46015.91
2017-12-29,46317.84,0.0,Dec 2017,46317.84
2018-01-01,46385.47,0.0,Jan 2018,46385.47
2018-01-02,46183.53,0.0,Jan 2018,46183.53
2018-01-03,46183.17,0.0,Jan 2018,46183.17
2018-01-04,46319.14,0.0,Jan 2018,46319.14
2018-01-05,46955.61,0.0,Jan 2018,46955.61
2018-01-08,47017.3,0.0,Jan 2018,47017.3
2018-01-09,46789.33,0.0,Jan 2018,46789.33
2018-01-10,46610.68,0.0,Jan 2018,46610.68
2018-01-11,46349.36,0.0,Jan 2018,46349.36
2018-01-12,46567.06,0.0,Jan 2018,46567.06
2018-01-15,46397.2,0.0,Jan 2018,46397.2
2018-01-16,46167.44,0.0,Jan 2018,46167.44
2018-01-17,46007.89,0.0,Jan 2018,46007.89
2018-01-18,44921.21,0.0,Jan 2018,44921.21
2018-01-19,45650.14,0.0,Jan 2018,45650.14
2018-01-22,45705.65,0.0,Jan 2018,45705.65
2018-01-23,46435.3,0.0,Jan 2018,46435.3
2018-01-24,46508.58,0.0,Jan 2018,46508.58
2018-01-25,46330.25,0.0,Jan 2018,46330.25
2018-01-29,45889.94,0.0,Jan 2018,45889.94
2018-01-30,45560.81,0.0,Jan 2018,45560.81
2018-01-31,44634.8,0.0,Jan 2018,44634.8
2018-02-01,44292.59,0.0,Feb 2018,44292.59
2018-02-02,43036.05,0.0,Feb 2018,43036.05
2018-02-05,42125.4,0.0,Feb 2018,42125.4
2018-02-06,41058.53,0.0,Feb 2018,41058.53
2018-02-07,42418.99,0.0,Feb 2018,42418.99
2018-02-08,43145.94,0.0,Feb 2018,43145.94
2018-02-09,43166.42,0.0,Feb 2018,43166.42
2018-02-12,43782.66,0.0,Feb 2018,43782.66
2018-02-14,43965.47,0.0,Feb 2018,43965.47
2018-02-15,43632.19,0.0,Feb 2018,43632.19
2018-02-16,43269.77,0.0,Feb 2018,43269.77
2018-02-19,42713.95,0.0,Feb 2018,42713.95
2018-02-20,42845.37,0.0,Feb 2018,42845.37
2018-02-21,42428.54,0.0,Feb 2018,42428.54
2018-02-22,42157.49,0.0,Feb 2018,42157.49
2018-02-23,42670.08,0.0,Feb 2018,42670.08
2018-02-26,42619.6,0.0,Feb 2018,42619.6
2018-02-27,42660.59,0.0,Feb 2018,42660.59
2018-02-28,42539.04,0.0,Feb 2018,42539.04
2018-03-01,41841.62,0.0,Mar 2018,41841.62
2018-03-05,41403.03,0.0,Mar 2018,41403.03
2018-03-06,40826.93,0.0,Mar 2018,40826.93
2018-03-07,40315.86,0.0,Mar 2018,40315.86
