Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Aug 2024,2024-08-30,0.0,253005.37,21083.780777,0.0,21083.78,0.0,21083.78,21083.78,0.0,255372.85
Sep 2024,2024-09-30,0.0,265802.44,22150.202933,0.0,22150.2,0.0,22150.2,22150.2,0.0,265534.56
Oct 2024,2024-10-31,0.0,256836.13,21403.011215,0.0,17457.93,0.0,17457.93,17457.93,0.0,254962.69
Nov 2024,2024-11-29,0.0,273447.34,22787.27792,0.0,8891.09,0.0,8891.09,8891.09,0.0,273110.4
Dec 2024,2024-12-31,0.0,241006.16,20083.84651,0.0,6568.78,0.0,6568.78,6568.78,0.0,240176.31
Jan 2025,2025-01-31,0.0,198747.69,16562.307265,0.0,14604.37,0.0,14604.37,14604.37,0.0,196113.42
Feb 2025,2025-02-28,0.0,169082.33,14090.194064,0.0,14090.19,0.0,14090.19,14090.19,0.0,168137.46
Mar 2025,2025-03-31,0.0,182831.67,15235.972679,0.0,15235.97,0.0,15235.97,15235.97,0.0,185456.05
Apr 2025,2025-04-30,0.0,201853.81,16821.150897,0.0,16821.15,0.0,16821.15,16821.15,0.0,202467.24
May 2025,2025-05-30,0.0,237098.8,19758.233441,0.0,19758.23,0.0,19758.23,19758.23,0.0,237430.4
Jun 2025,2025-06-30,0.0,243741.03,20311.752267,0.0,20311.75,0.0,20311.75,20311.75,0.0,243226.97
Jul 2025,2025-07-31,0.0,235733.0,19644.416772,0.0,19644.42,0.0,19644.42,19644.42,0.0,236964.43
Aug 2025,2025-08-29,0.0,230758.56,19229.879753,0.0,19229.88,0.0,19229.88,19229.88,0.0,229685.83
Sep 2025,2025-09-30,0.0,219752.78,18312.731561,0.0,18312.73,0.0,18312.73,18312.73,0.0,221024.31
