Date,Open,High,Low,Close,Adj Close,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-07-31,103.0,103.4990005,102.685997,103.427002,103.427002,444180.0,,,,,,
2017-08-01,102.4020004,103.939003,100.0,103.7389984,103.7389984,427340.0,,,,,,
2017-08-02,104.0979996,104.3990021,103.5699997,103.7779999,103.7779999,1697520.0,,,,,,
2017-08-03,103.6940002,103.6940002,102.9100037,103.0690002,103.0690002,360450.0,,,,,,
2017-08-04,103.0889969,103.8550034,102.9000015,103.7470016,103.7470016,143500.0,,,,,,
2017-08-07,104.0,104.0,103.3899994,103.5,103.5,153790.0,,,,,,
2017-08-08,103.8000031,103.8000031,102.401001,102.9120026,102.9120026,330720.0,,,,,,
2017-08-09,103.3000031,103.3000031,102.0,102.0770035,102.0770035,244820.0,,,,,,
2017-08-10,102.0,102.0,100.2009964,100.6750031,100.6750031,3363010.0,,,,,,
2017-08-11,100.302002,100.3860016,96.62599945,99.77799988,99.77799988,493650.0,,,,,,
2017-08-14,99.81500244,101.0250015,99.81500244,100.9349976,100.9349976,385900.0,,,,,,
2017-08-16,101.1210022,102.1350021,100.5299988,102.0839996,102.0839996,481330.0,,,,,,
2017-08-17,102.3000031,102.4690018,101.8820038,102.1600037,102.1600037,92270.0,,,,,,
2017-08-18,101.302002,101.7129974,101.0250015,101.6080017,101.6080017,485460.0,,,,,,
2017-08-21,101.9000015,101.9000015,100.4329987,100.5970001,100.5970001,166000.0,,,,,,
2017-08-22,101.0,101.0889969,100.4499969,100.7490005,100.7490005,450970.0,,,,,,
2017-08-23,101.0,101.6399994,100.8550034,101.5309982,101.5309982,98430.0,,,,,,
2017-08-24,102.0,102.0,101.4850006,101.7590027,101.7590027,65410.0,,,,,,
2017-08-28,102.1999969,102.3939972,101.8300018,102.2779999,102.2779999,159840.0,,,,,,
2017-08-29,102.1999969,102.1999969,100.8919983,101.0690002,101.0690002,162450.0,,,,,,
2017-08-30,101.5,102.1900024,101.4489975,101.8740005,101.8740005,109180.0,,,,,,
2017-08-31,101.9000015,102.2360001,101.5849991,102.1529999,102.1529999,152040.0,,,,,,
2017-09-01,102.1999969,102.9000015,102.0859985,102.8560028,102.8560028,463520.0,,,,,,
2017-09-04,102.8590012,102.8590012,101.526001,102.0680008,102.0680008,157580.0,,,,,,
2017-09-05,102.4000015,102.6050034,101.9000015,102.4589996,102.4589996,87880.0,,,,,,
2017-09-06,102.4000015,102.401001,101.7109985,102.1330032,102.1330032,126960.0,,,,,,
2017-09-07,102.5,102.598999,102.2350006,102.3519974,102.3519974,56540.0,,,,,,
2017-09-08,102.697998,102.697998,102.0849991,102.2799988,102.2799988,60280.0,,,,,,
2017-09-11,102.7050018,103.3199997,102.5950012,103.052002,103.052002,157410.0,,,,,,
2017-09-12,103.5,103.8619995,103.1529999,103.7559967,103.7559967,2458610.0,,,,,,
2017-09-13,104.0999985,104.1050034,103.4349976,103.598999,103.598999,120320.0,,,,,,
2017-09-14,103.6999969,104.0999985,103.5550003,103.7639999,103.7639999,151300.0,,,,,,
2017-09-15,103.7639999,104.0189972,103.3000031,103.7570038,103.7570038,185560.0,,,,,,
2017-09-18,104.1999969,104.6780014,103.8499985,104.5130005,104.5130005,315550.0,,,,,,
2017-09-19,104.4820023,104.5599976,104.1790009,104.4720001,104.4720001,121910.0,,,,,,
2017-09-20,104.375,104.6100006,104.3560028,104.4380035,104.4380035,92690.0,,,,,,
2017-09-21,105.0,105.0,103.4000015,104.0090027,104.0090027,456460.0,,,,,,
2017-09-22,103.7340012,103.7340012,102.4000015,102.5530014,102.5530014,171880.0,,,,,,
2017-09-25,103.5,103.5,101.189003,101.6949997,101.6949997,562780.0,,,,,,
2017-09-26,101.8000031,101.8799973,101.0019989,101.3929977,101.3929977,277970.0,,,,,,
2017-09-27,102.197998,102.3000031,100.1999969,100.6220016,100.6220016,970570.0,,,,,,
2017-09-28,101.2979965,101.4000015,100.0,101.0049973,101.0049973,1499380.0,,,,,,
2017-09-29,102.0,102.0,100.8000031,100.9980011,100.9980011,209480.0,,,,,,
2017-10-03,102.8000031,102.8000031,101.1569977,101.5029984,101.5029984,633090.0,,,,,,
2017-10-04,102.0,102.2050018,101.3000031,102.0690002,102.0690002,235530.0,,,,,,
